title,date_index0,date_index1,date_index10,date_index11,date_index12,date_index13,date_index14,date_index15,date_index16,date_index17,date_index18,date_index19,date_index2,date_index20,date_index21,date_index22,date_index23,date_index24,date_index25,date_index26,date_index27,date_index28,date_index29,date_index3,date_index30,date_index31,date_index32,date_index33,date_index34,date_index35,date_index36,date_index37,date_index4,date_index5,date_index6,date_index7,date_index8,date_index9
Alice Through the Looking Glass,14,19,76,59,51,45,54,78,72,38,30,27,19,26,33,50,48,25,23,23,19,24,28,22,28,17,19,15,15,13,18,18,26,29,45,80,100,90
Shrek the Third,20,24,51,35,33,25,32,48,50,36,24,22,26,22,17,31,32,17,15,18,17,18,30,22,30,18,17,15,18,17,30,23,25,28,39,64,100,89
Warcraft,41,52,56,48,43,41,44,54,57,37,33,31,50,28,28,34,36,24,24,23,21,22,26,35,29,22,20,18,16,19,25,25,40,42,56,82,100,91
Terminator Genisys,20,25,100,92,63,53,48,45,43,57,55,33,28,31,28,28,30,40,39,27,23,22,21,34,21,28,30,19,18,16,16,16,39,37,46,65,79,93
The Chronicles of Narnia: The Voyage of the Dawn Treader,32,49,71,63,59,49,61,69,59,42,37,29,51,42,55,63,55,49,53,31,43,31,48,39,36,24,28,21,21,22,26,24,36,50,61,70,93,100
Transformers,28,32,89,100,100,74,60,55,49,51,65,67,40,50,45,42,44,49,63,62,47,41,40,47,40,42,54,53,39,37,36,36,56,59,54,85,96,91
Alexander,58,55,100,97,84,63,68,64,62,66,69,59,65,59,61,55,65,54,54,56,52,52,49,68,49,48,47,47,48,46,46,47,70,73,66,89,78,80
Harry Potter and the Order of the Phoenix,46,45,100,94,56,43,37,39,41,56,51,35,47,34,29,32,23,32,43,25,22,20,16,44,17,25,24,19,19,18,14,16,61,60,74,96,98,80
Harry Potter and the Goblet of Fire,34,54,49,36,31,30,35,54,49,28,21,20,43,21,23,36,33,17,14,14,12,14,22,37,18,10,10,10,9,14,11,16,31,30,36,70,100,74
Hancock,23,24,100,99,81,53,51,43,48,64,59,41,29,31,33,31,33,44,42,27,24,24,23,32,23,25,25,18,18,16,19,24,37,31,53,83,81,87
I Am Legend,23,22,68,48,43,42,59,72,68,58,56,54,26,49,46,50,49,38,47,37,34,32,40,22,40,28,25,23,22,26,36,32,24,28,34,77,100,91
Charlie and the Chocolate Factory,26,22,71,54,48,37,48,56,63,43,37,36,28,44,43,57,62,36,32,37,28,37,42,41,30,26,19,24,24,25,39,39,40,35,46,97,98,100
Ratatouille,23,35,79,66,68,62,70,90,88,64,52,45,40,41,47,60,64,42,38,40,38,40,48,26,54,38,39,39,39,38,56,61,28,33,41,79,100,99
Batman Begins,21,23,90,100,67,45,43,40,44,52,54,32,24,30,26,24,25,29,33,24,21,17,16,31,19,26,27,18,16,14,14,13,30,35,39,65,77,83
Madagascar: Escape 2 Africa,15,15,56,73,62,29,28,96,70,44,50,29,18,45,19,62,57,41,31,26,54,39,53,18,51,36,20,23,18,22,39,52,26,18,29,39,100,76
Night at the Museum: Battle of the Smithsonian,20,22,85,98,43,31,63,75,76,25,22,32,18,29,31,30,34,14,12,12,15,15,33,9,39,29,17,13,10,24,27,15,17,11,23,57,70,100
X-Men Origins: Wolverine,17,29,59,46,45,36,38,56,52,32,25,26,26,21,24,33,33,20,20,16,16,24,36,22,33,21,15,17,17,15,22,23,28,42,49,86,100,90
Frozen,28,29,93,81,55,49,51,46,60,92,94,66,31,64,60,57,62,92,96,65,62,60,61,41,75,97,100,93,95,96,92,98,44,38,38,58,66,70
Thor: The Dark World,41,61,61,44,38,32,38,56,51,36,29,34,62,29,29,43,43,27,21,22,23,25,30,46,29,16,15,17,18,23,28,26,40,37,40,73,100,87
Mad Max: Fury Road,12,15,61,49,47,43,43,58,60,46,35,30,15,26,29,38,41,26,22,20,19,20,25,22,25,16,14,14,14,15,19,19,28,30,49,82,100,89
Angels & Demons,28,26,54,35,36,46,37,50,41,39,26,14,38,20,24,31,23,24,13,17,16,20,23,29,27,9,12,12,10,18,16,11,31,47,58,74,100,93
Thor,56,79,61,46,43,38,40,58,59,37,30,28,79,26,27,36,34,23,19,19,17,19,26,58,28,21,16,18,17,16,22,22,53,48,54,75,100,92
Bolt,46,49,75,62,78,66,89,100,92,69,62,59,51,61,67,80,74,68,62,55,53,58,71,52,71,55,57,52,59,61,72,73,56,56,53,74,95,90
G-Force,21,27,85,62,56,63,62,88,81,48,39,39,27,36,40,52,46,38,32,33,30,35,46,33,39,27,30,31,33,32,43,35,36,55,63,79,100,92
Wrath of the Titans,18,25,49,40,42,41,50,53,45,37,26,21,23,19,22,30,27,18,13,15,14,15,21,26,18,11,11,11,10,11,14,14,22,32,44,86,100,93
Dark Shadows,22,23,54,39,38,38,39,48,48,27,23,20,27,20,22,28,29,21,16,14,13,16,20,24,20,14,10,11,11,11,15,15,33,41,50,79,100,92
Mission: Impossible - Rogue Nation,12,14,63,51,40,44,72,100,86,60,46,35,22,53,36,63,54,32,27,25,22,25,38,16,41,20,19,16,15,16,31,19,14,14,30,42,62,91
The Wolfman,24,29,61,43,46,41,39,59,55,32,26,24,29,23,25,37,34,18,15,16,19,18,23,29,24,11,13,11,11,13,15,17,32,41,50,80,100,91
The Legend of Tarzan,6,8,65,57,41,48,63,88,72,46,41,33,8,33,40,55,49,30,29,26,25,28,40,8,37,22,22,18,19,17,26,21,14,22,34,68,100,90
Bee Movie,26,22,53,47,39,34,45,67,63,47,34,29,20,25,32,51,47,29,23,29,30,34,47,23,37,18,24,21,28,34,48,57,20,19,33,77,100,81
Kung Fu Panda 2,13,23,96,76,56,54,55,57,83,82,48,42,24,46,48,63,90,97,62,48,52,49,56,31,88,84,47,43,42,47,45,67,25,22,28,50,70,100
The Last Airbender,23,26,79,64,60,54,50,51,60,52,38,35,34,32,32,33,42,39,28,25,27,26,29,35,35,35,26,23,23,21,23,28,30,33,49,88,100,98
Mission: Impossible III,16,20,66,45,32,38,37,41,51,21,10,12,14,26,15,8,18,14,10,11,15,8,11,27,8,12,3,12,9,0,17,5,29,35,49,93,100,91
White House Down,18,18,52,43,43,53,58,80,78,49,42,36,17,31,33,46,47,29,25,27,26,33,44,17,41,28,21,20,19,22,29,26,23,30,37,79,100,85
Mars Needs Moms,20,26,53,77,62,35,54,77,67,33,28,22,21,25,37,48,41,21,22,12,21,21,20,25,15,27,15,12,14,10,18,19,28,28,45,65,100,76
Flushed Away,11,19,49,26,23,26,52,78,62,35,22,27,26,29,40,48,61,27,20,31,40,45,57,15,55,30,17,22,35,35,55,56,16,16,20,63,100,94
Pan,59,67,84,75,74,73,76,83,77,68,64,67,65,63,67,74,73,67,70,66,69,67,72,65,68,64,63,62,59,60,68,61,65,69,74,86,100,94
Mr. Peabody & Sherman,27,34,46,38,33,35,51,78,81,49,34,32,36,22,33,56,57,33,29,30,22,32,39,26,39,27,20,18,20,22,34,29,28,26,33,55,90,100
Troy,23,26,73,51,44,46,48,51,69,51,37,34,29,34,30,42,46,39,29,25,28,24,30,30,31,23,19,18,18,22,21,21,34,33,43,67,96,100
Madagascar 3: Europe's Most Wanted,17,0,16,0,16,32,17,0,20,16,0,0,19,16,34,40,100,0,32,0,33,17,0,16,40,16,0,17,0,0,0,0,0,16,0,17,39,78
Ghostbusters,20,32,61,52,47,49,49,65,57,39,31,29,42,27,32,41,38,26,25,24,21,21,26,45,26,18,15,17,17,16,19,18,39,41,47,79,100,92
Beowulf,27,27,66,48,46,49,61,73,67,40,30,31,35,32,36,46,43,27,22,21,21,21,30,43,29,15,16,14,13,15,19,17,37,42,46,85,100,86
Kung Fu Panda 3,16,25,55,43,38,37,44,69,59,38,32,29,28,29,37,60,62,46,31,26,26,31,51,17,46,24,22,22,22,38,67,66,20,21,31,59,100,85
Rise of the Guardians,18,16,100,82,51,42,49,46,61,98,88,50,24,39,42,40,45,74,71,41,35,37,36,29,44,61,64,38,34,37,38,40,30,25,33,63,68,80
Fun with Dick and Jane,17,18,99,70,100,84,80,74,90,85,82,82,27,49,47,43,69,76,68,27,32,38,36,25,43,72,63,50,38,29,32,56,20,29,36,65,95,90
Exodus: Gods and Kings,49,55,59,42,37,41,48,57,60,41,40,41,51,64,67,68,64,46,41,37,47,47,49,39,42,24,23,18,17,17,24,25,34,42,45,74,100,93
How to Train Your Dragon 2,20,28,58,49,45,46,53,69,65,45,39,36,29,34,40,53,49,34,32,34,35,37,42,23,47,30,29,25,26,30,38,37,26,29,42,66,100,85
Gods of Egypt,10,17,59,51,44,47,59,78,68,42,33,33,16,30,31,44,41,23,23,17,16,19,27,14,26,18,15,14,13,17,18,19,17,25,45,86,100,90
Stealth,43,42,90,72,60,49,66,73,62,64,44,52,35,52,49,50,53,41,22,32,29,31,73,44,57,33,34,27,27,33,45,44,46,40,53,73,100,92
Watchmen,18,22,62,42,33,30,29,39,37,24,19,17,24,16,17,21,22,14,12,11,10,11,14,24,13,9,7,7,6,8,10,9,27,33,44,81,100,90
G.I. Joe: Retaliation,9,22,92,53,41,44,41,47,54,56,39,25,22,31,26,20,39,35,17,20,21,16,18,26,29,26,15,20,18,14,17,18,22,24,36,55,76,100
Sahara,42,43,73,66,60,49,63,80,68,61,50,47,43,67,60,82,50,68,67,60,51,58,58,51,65,42,52,45,39,49,58,56,0,51,47,72,100,68
Captain America: The First Avenger,15,16,88,84,87,59,62,85,75,55,40,38,25,40,39,47,45,39,27,24,23,35,43,22,36,22,23,23,23,27,21,32,25,33,41,73,91,100
The Twilight Saga: Breaking Dawn - Part 2,8,9,67,55,76,29,35,54,82,12,24,27,15,30,36,24,21,15,7,12,10,28,18,20,23,5,7,7,5,10,12,21,10,28,23,74,98,100
Happy Feet 2,24,31,59,49,54,57,77,100,98,63,48,51,28,41,59,79,84,48,41,45,41,43,72,28,63,33,30,29,27,40,41,46,27,31,31,65,98,92
The Incredible Hulk,16,26,52,41,37,33,35,52,44,28,22,19,22,21,19,27,21,17,13,15,14,15,18,26,20,10,12,12,9,11,14,14,27,26,44,81,100,81
The BFG,11,12,77,66,52,50,59,84,63,38,38,35,16,30,35,48,48,27,26,24,25,27,31,13,30,20,19,17,20,23,25,25,16,19,44,87,100,96
The Revenant,34,35,100,49,38,62,66,84,78,51,39,32,34,31,37,54,52,33,25,23,23,29,44,26,47,24,19,18,19,23,34,30,23,26,33,53,74,70
Turbo,60,62,100,92,79,77,76,74,75,82,83,72,63,68,68,67,68,75,76,64,67,66,65,67,67,76,74,66,65,62,64,62,68,64,67,79,80,86
Rango,16,21,59,50,50,50,55,87,82,46,41,39,23,40,44,64,62,36,32,31,31,34,53,20,55,27,25,25,23,24,34,37,23,28,37,65,100,98
